,PMID,PMCID,DOI,mapping_method,uberon_entity_term,uberon_entity_id,author_category,dataset_source,collection_id,collection_version_id,dataset_id,dataset_version_id,author_cell_term,author_cell_set,match,cell_ontology_term,cell_ontology_id,uuid
0,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Alveolar macrophage,Alveolar macrophage,skos:exactMatch,alveolar macrophage,http://purl.obolibrary.org/obo/CL_0000583,yph2k73ra7as
1,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Patrolling monocyte,Patrolling monocyte,skos:exactMatch,non-classical monocyte,http://purl.obolibrary.org/obo/CL_0000875,smxgvaqe39i1
2,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Mast/Basophil,Mast/Basophil,skos:exactMatch,mast cell,http://purl.obolibrary.org/obo/CL_0000097,ymzb82lez8j6
3,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Natural killer cell,Natural killer cell,skos:exactMatch,natural killer cell,http://purl.obolibrary.org/obo/CL_0000623,quczmbnj03hs
4,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,CD4+ T cell,CD4+ T cell,skos:exactMatch,"CD4-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000624,dn1jh4qkoe3h
5,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,CD8+ T cell,CD8+ T cell,skos:exactMatch,"CD8-positive, alpha-beta T cell",http://purl.obolibrary.org/obo/CL_0000625,k1pdusr0ee2p
6,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Plasma cell,Plasma cell,skos:exactMatch,plasma cell,http://purl.obolibrary.org/obo/CL_0000786,0ibchjrv4fpa
7,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,B cell,B cell,skos:exactMatch,B cell,http://purl.obolibrary.org/obo/CL_0000236,vixldzklyzb9
8,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Plasmacytoid DC,Plasmacytoid DC,skos:exactMatch,plasmacytoid dendritic cell,http://purl.obolibrary.org/obo/CL_0000784,vdgoyjo6uaxk
9,37516747,PMC10387117,doi.org/10.1038/s41467-023-40173-5,manual,lung,http://purl.obolibrary.org/obo/UBERON_0002048,celltype_level3,cellxgene.cziscience.com,f86d6317-7215-409e-bfda-3f4ded3dadaa,2fd47593-5bcb-4b07-878f-263ad03f2206,eb499fd8-7000-419f-8854-926b9b61b11f,443f7fb8-2a27-47c3-98f6-6a603c7a294e,Lymphatic endothelial cell,Lymphatic endothelial cell,skos:exactMatch,endothelial cell of lymphatic vessel,http://purl.obolibrary.org/obo/CL_0002138,d3ll7rp57905
