,external_gene_name,ensembl_gene_id,entrezgene_id
5,MT-ND1,ENSG00000198888,4535
9,MT-ND2,ENSG00000198763,4536
15,MT-CO1,ENSG00000198804,4512
16,MT-TS1,ENSG00000210151,113219467
18,MT-CO2,ENSG00000198712,4513
20,MT-ATP8,ENSG00000228253,4509
21,MT-ATP6,ENSG00000198899,4508
22,MT-CO3,ENSG00000198938,4514
24,MT-ND3,ENSG00000198840,4537
26,MT-ND4L,ENSG00000212907,4539
27,MT-ND4,ENSG00000198886,4538
31,MT-ND5,ENSG00000198786,4540
32,MT-ND6,ENSG00000198695,4541
34,MT-CYB,ENSG00000198727,4519
42,U6,ENSG00000278625,124905334
55,5_8S_rRNA,ENSG00000278294,124907156
56,5_8S_rRNA,ENSG00000278294,124907485
57,5_8S_rRNA,ENSG00000278294,124908250
58,RNA5-8SN5,ENSG00000274917,100008587
59,RNA5-8SN5,ENSG00000274917,124907114
60,RNA5-8SN5,ENSG00000274917,124907115
61,RNA5-8SN5,ENSG00000274917,124907116
62,RNA5-8SN5,ENSG00000274917,124907117
63,RNA5-8SN5,ENSG00000274917,124907118
64,RNA5-8SN5,ENSG00000274917,124907119
65,RNA5-8SN5,ENSG00000274917,124907120
66,RNA5-8SN5,ENSG00000274917,124907121
67,RNA5-8SN5,ENSG00000274917,124907122
68,RNA5-8SN5,ENSG00000274917,124907123
69,RNA5-8SN5,ENSG00000274917,124907124
70,RNA5-8SN5,ENSG00000274917,124907125
71,RNA5-8SN5,ENSG00000274917,124907126
72,RNA5-8SN5,ENSG00000274917,124907127
73,RNA5-8SN5,ENSG00000274917,124907128
74,RNA5-8SN5,ENSG00000274917,124907129
75,RNA5-8SN5,ENSG00000274917,124907130
76,RNA5-8SN5,ENSG00000274917,124907131
77,RNA5-8SN5,ENSG00000274917,124907132
78,RNA5-8SN5,ENSG00000274917,124907133
79,RNA5-8SN5,ENSG00000274917,124907134
80,RNA5-8SN5,ENSG00000274917,124907135
81,RNA5-8SN5,ENSG00000274917,124907136
82,RNA5-8SN5,ENSG00000274917,124907137
83,RNA5-8SN5,ENSG00000274917,124907138
84,RNA5-8SN5,ENSG00000274917,124907139
85,RNA5-8SN5,ENSG00000274917,124907140
86,RNA5-8SN5,ENSG00000274917,124907141
87,RNA5-8SN5,ENSG00000274917,124907142
88,RNA5-8SN5,ENSG00000274917,124907143
89,RNA5-8SN5,ENSG00000274917,124907144
90,RNA5-8SN5,ENSG00000274917,124907145
91,RNA5-8SN5,ENSG00000274917,124907146
92,RNA5-8SN5,ENSG00000274917,124907147
93,RNA5-8SN5,ENSG00000274917,124907148
94,RNA5-8SN5,ENSG00000274917,124907149
95,RNA5-8SN5,ENSG00000274917,124907150
96,RNA5-8SN5,ENSG00000274917,124907151
97,RNA5-8SN5,ENSG00000274917,124907152
98,RNA5-8SN5,ENSG00000274917,124907153
99,RNA5-8SN5,ENSG00000274917,124907154
100,RNA5-8SN5,ENSG00000274917,124907155
101,RNA5-8SN5,ENSG00000274917,124907160
102,RNA5-8SN5,ENSG00000274917,124907172
103,RNA5-8SN5,ENSG00000274917,124907183
104,RNA5-8SN5,ENSG00000274917,124907194
105,RNA5-8SN5,ENSG00000274917,124907205
106,RNA5-8SN5,ENSG00000274917,124907216
107,RNA5-8SN5,ENSG00000274917,124907227
108,RNA5-8SN5,ENSG00000274917,124907238
109,RNA5-8SN5,ENSG00000274917,124907248
110,RNA5-8SN5,ENSG00000274917,124907258
111,RNA5-8SN5,ENSG00000274917,124907269
112,RNA5-8SN5,ENSG00000274917,124907280
113,RNA5-8SN5,ENSG00000274917,124907291
114,RNA5-8SN5,ENSG00000274917,124907302
115,RNA5-8SN5,ENSG00000274917,124907313
116,RNA5-8SN5,ENSG00000274917,124907324
117,RNA5-8SN5,ENSG00000274917,124907327
118,RNA5-8SN5,ENSG00000274917,124907328
119,RNA5-8SN5,ENSG00000274917,124907329
120,RNA5-8SN5,ENSG00000274917,124907330
121,RNA5-8SN5,ENSG00000274917,124907331
122,RNA5-8SN5,ENSG00000274917,124907332
123,RNA5-8SN5,ENSG00000274917,124907333
124,RNA5-8SN5,ENSG00000274917,124907334
125,RNA5-8SN5,ENSG00000274917,124907335
126,RNA5-8SN5,ENSG00000274917,124907336
127,RNA5-8SN5,ENSG00000274917,124907337
128,RNA5-8SN5,ENSG00000274917,124907338
129,RNA5-8SN5,ENSG00000274917,124907339
130,RNA5-8SN5,ENSG00000274917,124907340
131,RNA5-8SN5,ENSG00000274917,124907341
132,RNA5-8SN5,ENSG00000274917,124907342
133,RNA5-8SN5,ENSG00000274917,124907343
134,RNA5-8SN5,ENSG00000274917,124907439
135,RNA5-8SN5,ENSG00000274917,124907440
136,RNA5-8SN5,ENSG00000274917,124907450
137,RNA5-8SN5,ENSG00000274917,124907458
138,RNA5-8SN5,ENSG00000274917,124907467
139,RNA5-8SN5,ENSG00000274917,124907475
140,RNA5-8SN5,ENSG00000274917,124907476
141,RNA5-8SN5,ENSG00000274917,124907477
142,RNA5-8SN5,ENSG00000274917,124907478
143,RNA5-8SN5,ENSG00000274917,124907479
144,RNA5-8SN5,ENSG00000274917,124907480
145,RNA5-8SN5,ENSG00000274917,124907481
146,RNA5-8SN5,ENSG00000274917,124907482
147,RNA5-8SN5,ENSG00000274917,124907483
148,RNA5-8SN5,ENSG00000274917,124907484
149,RNA5-8SN5,ENSG00000274917,124907572
150,RNA5-8SN5,ENSG00000274917,124907573
151,RNA5-8SN5,ENSG00000274917,124907574
152,RNA5-8SN5,ENSG00000274917,124907575
153,RNA5-8SN5,ENSG00000274917,124907576
154,RNA5-8SN5,ENSG00000274917,124907577
155,RNA5-8SN5,ENSG00000274917,124907578
156,RNA5-8SN5,ENSG00000274917,124907579
157,RNA5-8SN5,ENSG00000274917,124907580
158,RNA5-8SN5,ENSG00000274917,124907581
159,RNA5-8SN5,ENSG00000274917,124907584
160,RNA5-8SN5,ENSG00000274917,124907585
161,RNA5-8SN5,ENSG00000274917,124907586
162,RNA5-8SN5,ENSG00000274917,124907587
163,RNA5-8SN5,ENSG00000274917,124907588
164,RNA5-8SN5,ENSG00000274917,124907589
165,RNA5-8SN5,ENSG00000274917,124907590
166,RNA5-8SN5,ENSG00000274917,124907591
167,RNA5-8SN5,ENSG00000274917,124907592
