clusterName,gene
T Cell,ENSG00000168685
Renin-positive Juxtaglomerular Granular Cell,ENSG00000143839
Renin-positive Juxtaglomerular Granular Cell,ENSG00000140538
Schwann Cell / Neural,ENSG00000179915
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000077942
Adaptive / Maladaptive / Repairing Fibroblast,ENSG00000185070
Cycling Myofibroblast,ENSG00000136492
Cycling Myofibroblast,ENSG00000123219
Cycling Myofibroblast,ENSG00000102384
Myofibroblast,ENSG00000154553
Myofibroblast,ENSG00000198947
Fibroblast,ENSG00000112936
Fibroblast,ENSG00000172260
Mesangial Cell,ENSG00000154864
Mesangial Cell,ENSG00000169855
Vascular Smooth Muscle Cell / Pericyte,ENSG00000138031
Vascular Smooth Muscle Cell / Pericyte,ENSG00000074181
Vascular Smooth Muscle Cell,ENSG00000169282
Vascular Smooth Muscle Cell,ENSG00000122367
Degenerative Podocyte,ENSG00000166033
Degenerative Cortical Thick Ascending Limb Cell,ENSG00000197249
Degenerative Cortical Thick Ascending Limb Cell,ENSG00000124107
Degenerative Endothelial Cell,ENSG00000142089
Degenerative Endothelial Cell,ENSG00000184831
Degenerative Endothelial Cell,ENSG00000150991
Degenerative Medullary Fibroblast,ENSG00000049323
Degenerative Medullary Fibroblast,ENSG00000085662
Degenerative Medullary Fibroblast,ENSG00000167580
Natural Killer Cell / Natural Killer T Cell,ENSG00000105374
Natural Killer Cell / Natural Killer T Cell,ENSG00000275302
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000164104
Cycling Natural Killer Cell / Natural Killer T Cell,ENSG00000175063
Degenerative Fibroblast,ENSG00000102265
Degenerative Vascular Smooth Muscle Cell,ENSG00000198467
Degenerative Vascular Smooth Muscle Cell,ENSG00000198523
Degenerative Distal Convoluted Tubule Cell,ENSG00000263146
Degenerative Distal Convoluted Tubule Cell,ENSG00000113889
Degenerative Cortical Intercalated Cell Type A,ENSG00000130208
Degenerative Cortical Intercalated Cell Type A,ENSG00000151418
Degenerative Cortical Intercalated Cell Type A,ENSG00000131981
Neutrophil,ENSG00000143546
Neutrophil,ENSG00000163220
Non-classical Monocyte,ENSG00000204482
Monocyte-derived Cell,ENSG00000204287
M2 Macrophage,ENSG00000260314
M2 Macrophage,ENSG00000177575
Cycling Mononuclear Phagocyte,ENSG00000048052
Cycling Mononuclear Phagocyte,ENSG00000135905
Classical Dendritic Cell,ENSG00000276600
Classical Dendritic Cell,ENSG00000112149
Plasmacytoid Dendritic Cell,ENSG00000267337
Mast Cell,ENSG00000163751
Mast Cell,ENSG00000185052
Plasma Cell,ENSG00000143297
Plasma Cell,ENSG00000255733
B Cell,ENSG00000153064
Medullary Fibroblast,ENSG00000079931
Medullary Fibroblast,ENSG00000067715
Ascending Vasa Recta Endothelial Cell,ENSG00000150625
Ascending Vasa Recta Endothelial Cell,ENSG00000104368
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000102755
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000184005
Degenerative Peritubular Capilary Endothelial Cell,ENSG00000211445
Cycling Endothelial Cell,ENSG00000113810
Cycling Endothelial Cell,ENSG00000165304
Cycling Endothelial Cell,ENSG00000174501
Lymphatic Endothelial Cell,ENSG00000138722
Descending Vasa Recta Endothelial Cell,ENSG00000099260
Descending Vasa Recta Endothelial Cell,ENSG00000049192
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000090006
Afferent / Efferent Arteriole Endothelial Cell,ENSG00000184916
